RCPT_YR,CGG_CD,CGG_NM,STDG_CD,STDG_NM,LOTNO_SE,LOTNO_SE_NM,MNO,SNO,BLDG_NM,CTRT_DAY,THING_AMT,ARCH_AREA,LAND_AREA,FLR,RGHT_SE,RTRCN_DAY,ARCH_YR,BLDG_USG,DCLR_SE,OPBIZ_RESTAGNT_SGG_NM
2025,11230,동대문구,10400,전농동,1,대지,0690,0000,래미안크레시티,2025-03-22,142000,84.96,0.0,16.0,,,2014,아파트,중개거래,서울 동대문구
2025,11230,동대문구,10500,답십리동,1,대지,1003,0000,래미안위브,2025-03-22,117000,59.97,0.0,12.0,,,2014,아파트,중개거래,서울 동대문구
2025,11740,강동구,10900,천호동,,,,,,2025-03-21,99630,197.1,103.0,0.0,,,1995,단독다가구,직거래,
2025,11545,금천구,10200,독산동,1,대지,0180,0036,(180-36),2025-03-21,26000,94.96,45.0,3.0,,,1998,연립다세대,직거래,
2025,11740,강동구,10900,천호동,,,,,,2025-03-21,136037,192.0,149.0,0.0,,,1983,단독다가구,직거래,
2025,11440,마포구,10400,도화동,1,대지,0571,0000,나눔빌딩,2025-03-21,24500,25.56,33.5718,8.0,,,2015,오피스텔,중개거래,서울 마포구
2025,11590,동작구,10200,상도동,1,대지,0533,0000,힐스테이트 상도 프레스티지,2025-03-21,140000,84.951,0.0,13.0,,,2013,아파트,직거래,
2025,11530,구로구,10800,오류동,1,대지,0001,0148,대하쉐르빌타운2동,2025-03-21,14500,59.93,32.0,4.0,,,2002,연립다세대,중개거래,경기 부천시 소사구
2025,11410,서대문구,10600,천연동,1,대지,0145,0000,천연뜨란채,2025-03-21,86000,57.78,0.0,8.0,,,2006,아파트,중개거래,서울 서대문구
2025,11680,강남구,10400,청담동,1,대지,0030,0033,청담대림이-편한세상,2025-03-21,230000,81.84,0.0,3.0,,,2002,아파트,중개거래,서울 강남구
2025,11230,동대문구,10400,전농동,1,대지,0006,0000,전농우성,2025-03-21,60000,84.84,0.0,15.0,,,1992,아파트,직거래,
2025,11350,노원구,10300,공릉동,1,대지,0081,0000,태강아파트(아이파크),2025-03-21,50000,49.6,0.0,2.0,,,1999,아파트,중개거래,서울 노원구
2025,11680,강남구,10100,역삼동,1,대지,0757,0000,역삼래미안,2025-03-21,214000,59.4,0.0,4.0,,,2005,아파트,중개거래,서울 강남구
2025,11230,동대문구,10600,장안동,1,대지,0346,0001,태솔아파트3차,2025-03-21,40000,66.46,91.29,2.0,,,2018,오피스텔,중개거래,서울 동대문구
2025,11710,송파구,10400,송파동,1,대지,0161,0000,미성맨션,2025-03-21,115000,84.95,0.0,3.0,,,1985,아파트,직거래,
2025,11380,은평구,10600,대조동,1,대지,0197,0001,유진 아이디움,2025-03-21,15000,17.14,25.49,3.0,,,2019,오피스텔,직거래,
2025,11710,송파구,11400,마천동,1,대지,0031,0002,솔렌시아아파트,2025-03-21,16500,42.3,54.09,1.0,,,2003,오피스텔,직거래,
2025,11740,강동구,10900,천호동,1,대지,0333,0055,천호e-편한세상,2025-03-21,100000,84.95,0.0,5.0,,,2005,아파트,중개거래,서울 강동구
2025,11440,마포구,12000,서교동,1,대지,0482,0022,진흥하임,2025-03-21,16000,18.44,12.0,2.0,,,2012,연립다세대,중개거래,서울 마포구
2025,11380,은평구,10700,응암동,1,대지,0112,0022,미성쉐르빌,2025-03-21,30000,55.36,21.0,2.0,,,2001,연립다세대,중개거래,서울 은평구
2025,11380,은평구,10200,녹번동,1,대지,0159,0005,제일빌라2차(159-5),2025-03-21,9000,42.32,18.0,1.0,,,1993,연립다세대,직거래,
2025,11380,은평구,10400,갈현동,1,대지,0521,0022,하나블루힐스,2025-03-21,29000,41.24,25.0,5.0,,,2015,연립다세대,중개거래,서울 은평구
2025,11230,동대문구,10800,회기동,1,대지,0101,0030,현대하이츠빌라(101-30),2025-03-21,32700,72.84,41.0,2.0,,,1990,연립다세대,중개거래,서울 동대문구
2025,11740,강동구,10900,천호동,,,,,,2025-03-21,99087,185.93,104.0,0.0,,,1991,단독다가구,직거래,
2025,11710,송파구,10400,송파동,1,대지,0025,0006,(25-6),2025-03-20,23000,53.28,28.0,3.0,,,2003,연립다세대,직거래,
2025,11440,마포구,11500,상수동,1,대지,0327,0011,미주빌2차,2025-03-20,32000,23.36,23.0,2.0,,,2008,연립다세대,직거래,
2025,11710,송파구,11300,거여동,1,대지,0696,0000,e편한세상송파파크센트럴,2025-03-20,164000,113.63,0.0,25.0,,,2021,아파트,중개거래,서울 송파구
2025,11260,중랑구,10300,중화동,1,대지,0323,0017,성우스타팰리스103동104동,2025-03-20,25700,41.67,24.0,5.0,,,2015,연립다세대,중개거래,서울 중랑구
2025,11560,영등포구,11000,여의도동,1,대지,0014,0008,(14-8),2025-03-20,47000,82.38,110.61,11.0,,,1991,오피스텔,직거래,
2025,11500,강서구,10300,화곡동,1,대지,0024,0338,진솔빌라트,2025-03-20,26500,43.665,26.0,6.0,,,2015,연립다세대,직거래,
2025,11710,송파구,10100,잠실동,1,대지,0315,0001,(315-1),2025-03-20,60000,65.97,42.0,5.0,,,2016,연립다세대,중개거래,서울 송파구
2025,11710,송파구,11200,오금동,1,대지,0617,0000,송파레미니스2단지,2025-03-20,120000,84.82,0.0,20.0,,,2018,아파트,직거래,
2025,11545,금천구,10300,시흥동,1,대지,1026,0000,남서울힐스테이트,2025-03-20,89000,84.786,0.0,2.0,,20250321,2014,아파트,중개거래,서울 금천구
2025,11680,강남구,10500,삼성동,1,대지,0011,0000,롯데캐슬프레미어,2025-03-20,254500,121.931,0.0,12.0,,,2007,아파트,직거래,
2025,11545,금천구,10300,시흥동,1,대지,1026,0000,남서울힐스테이트,2025-03-20,89000,84.786,0.0,2.0,,,2014,아파트,중개거래,서울 금천구
2025,11290,성북구,13300,정릉동,1,대지,0406,0000,정릉푸르지오,2025-03-20,65500,59.98,0.0,6.0,,,2005,아파트,중개거래,서울 성북구
2025,11170,용산구,12100,용문동,1,대지,0001,0002,HAHOJE,2025-03-20,65000,28.92,24.0,2.0,,,2023,연립다세대,직거래,
2025,11260,중랑구,10100,면목동,,,,,,2025-03-20,50000,152.44,97.0,0.0,,,1992,단독다가구,중개거래,서울 중랑구
2025,11680,강남구,10600,대치동,1,대지,0974,0000,대치현대,2025-03-20,189500,59.82,0.0,20.0,,,1999,아파트,중개거래,서울 강남구
2025,11305,강북구,10100,미아동,1,대지,0791,2797,삼우주택,2025-03-20,14000,45.0,32.0,3.0,,,1993,연립다세대,직거래,
