RCPT_YR,CGG_CD,CGG_NM_EN,STDG_CD,STDG_NM,LOTNO_SE,LOTNO_SE_NM,MNO,SNO,CTRT_DAY,THING_AMT,ARCH_AREA,LAND_AREA,FLR,RGHT_SE,RTRCN_DAY,ARCH_YR,BLDG_USG,DCLR_SE,OPBIZ_RESTAGNT_SGG_NM,CODE,BLDG_NM,CGG_NM
2025,11230,Dongdaemun-gu,10500,Dapsipni-dong,1.0,Land,530.0,15.0,2025-03-28,12150,14.82,0.0,9.0,,,2016.0,Apartment,Brokerage Transaction,서울 동대문구,1123010500,Hyundai Sun & Ville Cheonggye,동대문구
2025,11650,Seocho-gu,10600,Jamwon-dong,1.0,Land,27.0,2.0,2025-03-28,42000,21.863,32.9893,8.0,,,2022.0,Officetel,Brokerage Transaction,서울 서초구,1165010600,Mulberry Hills,서초구
2025,11530,Guro-gu,10300,Garibong-dong,1.0,Land,137.0,4.0,2025-03-28,40000,82.775,110.378,7.0,,,2006.0,Officetel,Direct Transaction,,1153010300,Sambura Renaissance Parkville,구로구
2025,11500,Gangseo-gu,10700,Oebalsan-dong,1.0,Land,216.0,37.0,2025-03-28,15000,23.73,20.0,5.0,,,2016.0,Multiplex House,Direct Transaction,,1150010700,Gaon Bill,강서구
2025,11620,Gwanak-gu,10100,Bongcheon-dong,1.0,Land,180.0,348.0,2025-03-28,15000,57.95,25.0,-1.0,,,1996.0,Multiplex House,Direct Transaction,,1162010100,Swan Art Villa,관악구
2025,11740,Gangdong-gu,10900,Cheonho-dong,1.0,Land,574.0,0.0,2025-03-28,38000,36.46,21.0,5.0,,,2018.0,Multiplex House,Brokerage Transaction,서울 강동구,1174010900,Cheongwoon Village (574),강동구
2025,11305,Gangbuk-gu,10300,Suyu-dong,1.0,Land,48.0,8.0,2025-03-28,11400,19.0,0.0,5.0,,,2016.0,Apartment,Brokerage Transaction,서울 강북구,1130510300,Liquor Premiere M,강북구
2025,11740,Gangdong-gu,10900,Cheonho-dong,1.0,Land,334.0,2.0,2025-03-28,68000,38.185,0.0,8.0,Pre-sale Right,,0.0,Apartment,Direct Transaction,,1174010900,Cheonho Station Maestro,강동구
2025,11215,Gwangjin-gu,10300,Guui-dong,1.0,Land,248.0,130.0,2025-03-28,33000,76.52,40.0,2.0,,,2000.0,Multiplex House,Direct Transaction,,1121510300,Gwanghyeon Villa,광진구
2025,11380,Eunpyeong-gu,10800,Yeokchon-dong,,,,,2025-03-28,6300,30.6,17.0,0.0,,,1992.0,Detached House,Brokerage Transaction,서울 은평구,1138010800,Nan,은평구
2025,11380,Eunpyeong-gu,10600,Daejo-dong,1.0,Land,186.0,21.0,2025-03-28,29000,28.18,0.0,11.0,,,2017.0,Apartment,Brokerage Transaction,서울 은평구,1138010600,Seogyeong Apartment,은평구
2025,11710,Songpa-gu,10600,Samjeon-dong,1.0,Land,129.0,1.0,2025-03-28,66500,71.47,42.0,5.0,,,2014.0,Multiplex House,Direct Transaction,,1171010600,Lake Parkville,송파구
2025,11230,Dongdaemun-gu,10400,Jeonnong-dong,1.0,Land,687.0,0.0,2025-03-28,85500,55.371,0.0,3.0,,,2005.0,Apartment,Brokerage Transaction,서울 동대문구,1123010400,Jeonnong -dong Holy Smile,동대문구
2025,11290,Seongbuk-gu,13500,Jongam-dong,1.0,Land,3.0,87.0,2025-03-28,43000,48.55,34.0,4.0,,,2021.0,Multiplex House,Direct Transaction,,1129013500,Sol Village,성북구
2025,11230,Dongdaemun-gu,10900,Hwigyeong-dong,1.0,Land,372.0,0.0,2025-03-28,116000,84.62,0.0,11.0,,,2019.0,Apartment,Brokerage Transaction,서울 동대문구,1123010900,Hwigyeong SK View,동대문구
